cuda:0 is available
n_episode :20, score : -0.1, n_buffer : 21000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :40, score : -0.1, n_buffer : 41000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :60, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :80, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :100, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :120, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :140, score : -0.0, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :160, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :180, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :200, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :220, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :240, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :260, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :280, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :300, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :320, score : -0.0, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :340, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :360, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :380, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :400, score : -0.0, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :420, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :440, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :460, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :480, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :500, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :520, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :540, score : -0.1, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :560, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :580, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :600, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :620, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :640, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :660, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :680, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :700, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :720, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :740, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :760, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :780, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :800, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :820, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :840, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :860, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :880, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :900, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :920, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :940, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :960, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :980, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1000, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1020, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1040, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1060, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1080, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1100, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1120, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1140, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1160, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1180, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1200, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1220, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1240, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1260, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1280, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1300, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1320, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1340, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1360, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1380, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1400, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1420, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1440, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1460, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1480, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1500, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1520, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1540, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1560, score : -0.0, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1580, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1600, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1620, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1640, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :1660, score : -0.1, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:12
n_episode :1680, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1700, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1720, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1740, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1760, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :1780, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1800, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1820, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1840, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1860, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1880, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:11
n_episode :1900, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1920, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1940, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1960, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :1980, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2000, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2020, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2040, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2060, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2080, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :2100, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2120, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2140, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2160, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2180, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2200, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2220, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2240, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2260, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:11
n_episode :2280, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2300, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2320, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:11
n_episode :2340, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2360, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2380, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:11
n_episode :2400, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2420, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2440, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2460, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2480, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2500, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2520, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2540, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:11
n_episode :2560, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2580, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2600, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2620, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2640, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2660, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2680, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:13
n_episode :2700, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2720, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2740, score : -0.1, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2760, score : -0.0, n_buffer : 50000, eps : 99.8%, step : 1000, time : 0:00:12
n_episode :2780, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:12
n_episode :2800, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:13
n_episode :2820, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:12
n_episode :2840, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:12
n_episode :2860, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:12
n_episode :2880, score : -0.1, n_buffer : 50000, eps : 99.7%, step : 1000, time : 0:00:12
