cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :20, score : -0.053, n_buffer : 21000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :40, score : -0.071, n_buffer : 41000, eps : 100.0%, step : 1000, time : 0:00:15
n_episode :60, score : -0.056, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :80, score : -0.065, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :100, score : -0.036, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :120, score : -0.057, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :140, score : -0.070, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :160, score : -0.050, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :180, score : -0.056, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :200, score : -0.051, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :220, score : -0.041, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :240, score : -0.055, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :260, score : -0.046, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :280, score : -0.070, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :300, score : -0.059, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :320, score : -0.044, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :340, score : -0.070, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :360, score : -0.057, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :380, score : -0.056, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :400, score : -0.066, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :420, score : -0.065, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :440, score : -0.061, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :460, score : -0.057, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :480, score : -0.056, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :500, score : -0.072, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :520, score : -0.072, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :540, score : -0.051, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :560, score : -0.057, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :580, score : -0.055, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :600, score : -0.038, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :620, score : -0.065, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :640, score : -0.060, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :660, score : -0.052, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :680, score : -0.050, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :700, score : -0.059, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :720, score : -0.049, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :740, score : -0.053, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :760, score : -0.057, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :780, score : -0.075, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :800, score : -0.050, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :820, score : -0.068, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :840, score : -0.063, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :860, score : -0.072, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :880, score : -0.054, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:13
n_episode :900, score : -0.060, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
n_episode :920, score : -0.061, n_buffer : 50000, eps : 99.9%, step : 1000, time : 0:00:14
