cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
action_space Discrete(5)
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :1, score : -1.256, n_buffer : 2000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :2, score : -1.316, n_buffer : 3000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :3, score : -0.996, n_buffer : 4000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :4, score : -1.279, n_buffer : 5000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :5, score : -1.037, n_buffer : 6000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :6, score : -1.277, n_buffer : 7000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :7, score : -0.943, n_buffer : 8000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :8, score : -1.034, n_buffer : 9000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :9, score : -1.432, n_buffer : 10000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :10, score : -1.233, n_buffer : 11000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :11, score : -1.392, n_buffer : 12000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :12, score : -1.231, n_buffer : 13000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :13, score : -1.376, n_buffer : 14000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :14, score : -1.118, n_buffer : 15000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :15, score : -1.410, n_buffer : 16000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :16, score : -1.380, n_buffer : 17000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :17, score : -1.026, n_buffer : 18000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :18, score : -1.006, n_buffer : 19000, eps : 100.0%, step : 1000, time : 0:00:12
n_episode :19, score : -0.822, n_buffer : 20000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :20, score : -1.127, n_buffer : 21000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :21, score : -1.398, n_buffer : 22000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :22, score : -1.133, n_buffer : 23000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :23, score : -1.130, n_buffer : 24000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :24, score : -1.276, n_buffer : 25000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :25, score : -1.242, n_buffer : 26000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :26, score : -1.083, n_buffer : 27000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :27, score : -1.402, n_buffer : 28000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :28, score : -1.130, n_buffer : 29000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :29, score : -1.107, n_buffer : 30000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :30, score : -1.379, n_buffer : 31000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :31, score : -1.021, n_buffer : 32000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :32, score : -1.067, n_buffer : 33000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :33, score : -1.074, n_buffer : 34000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :34, score : -1.061, n_buffer : 35000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :35, score : -1.428, n_buffer : 36000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :36, score : -1.499, n_buffer : 37000, eps : 100.0%, step : 1000, time : 0:00:13
